Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2024 Actuals,FY 2025 Enacted,FY 2025 Supplemental,FY 2025 Total,FY 2026 Disc Request,FY 2026 Reconciliation Request,FY 2026 Total
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,162,0605450A,Joint Air-to-Ground Missile (JAGM),Y,"2,904","3,030",,"3,030",,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,163,0605457A,Army Integrated Air and Missile Defense (AIAMD),Y,"285,411","587,068",,"587,068","146,056",,"146,056"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,164,0605531A,Counter - Small Unmanned Aircraft Systems Sys Dev & Demonstration,Y,"34,701","59,563",,"59,563","55,196",,"55,196"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,166,0605625A,Manned Ground Vehicle,Y,"565,047","499,478",,"499,478","386,393",,"386,393"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,167,0605766A,National Capabilities Integration (MIP),Y,"15,129","16,565",,"16,565","16,913",,"16,913"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,168,0605812A,Joint Light Tactical Vehicle (JLTV) Engineering and Manufacturing Development Phase (EMD),Y,,,,,"2,664",,"2,664"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,169,0605830A,Aviation Ground Support Equipment,Y,"1,124",979,,979,930,,930
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,170,0303032A,TROJAN - RH12,Y,"3,879","3,930",,"3,930","3,920",,"3,920"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,171,0303767A,AMBIT - Pre-Auctioned SRF,Y,"20,791",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,172,0304270A,Electronic Warfare Development,Y,"133,834","81,232",,"81,232",,,
2040A,"Research, Development, Test and Evaluation, Army",,05,System development and demonstration,999,9999999999,Classified Programs,Y,,"83,136",,"83,136","117,428",,"117,428"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,173,0604256A,Threat Simulator Development,Y,"71,587","75,298",,"75,298","74,767",,"74,767"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,174,0604258A,Target Systems Development,Y,"33,940","27,788",,"27,788","16,004",,"16,004"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,175,0604759A,Major T&E Investment,Y,"87,687","98,613",,"98,613","101,027",,"101,027"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,176,0605103A,Rand Arroyo Center,Y,"35,312","38,122",,"38,122","10,892",,"10,892"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,177,0605301A,Army Kwajalein Atoll,Y,"341,771","321,755","41,400","363,155","379,283",,"379,283"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,178,0605326A,Concepts Experimentation Program,Y,"86,765","80,845",,"80,845","58,606",,"58,606"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,179,0605502A,Small Business Innovative Research,Y,"409,981",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,180,0605601A,Army Test Ranges and Facilities,Y,"441,173","466,085",,"466,085","425,108",,"425,108"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,181,0605602A,Army Technical Test Instrumentation and Targets,Y,"45,679","74,004",,"74,004","69,328",,"69,328"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,182,0605604A,Survivability/Lethality Analysis,Y,"37,005","36,815",,"36,815","31,306",,"31,306"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,183,0605606A,Aircraft Certification,Y,"2,718","2,201",,"2,201","1,887",,"1,887"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,184,0605706A,Materiel Systems Analysis,Y,"23,402","23,338",,"23,338","19,100",,"19,100"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,185,0605709A,Exploitation of Foreign Items,Y,"7,805","6,245",,"6,245","6,277",,"6,277"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,186,0605712A,Support of Operational Testing,Y,"74,128","76,088",,"76,088","63,637",,"63,637"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,187,0605716A,Army Evaluation Center,Y,"71,118","73,220",,"73,220","62,343",,"62,343"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,188,0605718A,Army Modeling & Sim X-Cmd Collaboration & Integ,Y,"6,136","11,257",,"11,257","11,825",,"11,825"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,189,0605801A,Programwide Activities,Y,"86,384","91,895",,"91,895","54,172",,"54,172"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,190,0605803A,Technical Information Activities,Y,"30,422","32,385",,"32,385","26,592",,"26,592"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,191,0605805A,"Munitions Standardization, Effectiveness and Safety",Y,"56,069","50,766",,"50,766","44,465",,"44,465"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,192,0605857A,Environmental Quality Technology Mgmt Support,Y,"1,570","1,659",,"1,659","2,857",,"2,857"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,193,0605898A,Army Direct Report Headquarters - R&D - MHA,Y,"55,497","59,727",,"59,727","53,436",,"53,436"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,194,0606002A,Ronald Reagan Ballistic Missile Defense Test Site,Y,"89,911","73,400",,"73,400","72,302",,"72,302"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,195,0606003A,CounterIntel and Human Intel Modernization,Y,"6,348","9,574",,"9,574","5,660",,"5,660"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,196,0606118A,AIAMD Software Development & Integration,Y,,,,,"358,854","103,000","461,854"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,197,0606942A,Assessments and Evaluations Cyber Vulnerabilities,Y,"6,025","10,105",,"10,105","6,354",,"6,354"
2040A,"Research, Development, Test and Evaluation, Army",A,06,Management support,198,0909999A,Financing for Cancelled Account Adjustments,Y,669,,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,199,0603778A,MLRS Product Improvement Program,Y,"13,937","14,188",,"14,188","14,639",,"14,639"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,200,0605024A,Anti-Tamper Technology Support,Y,"7,274","7,489",,"7,489","6,449",,"6,449"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,201,0607101A,Combating Weapons of Mass Destruction (CWMD) Product Improvement,Y,,271,,271,115,,115
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,202,0607131A,Weapons and Munitions Product Improvement Programs,Y,"61,735","31,563",,"31,563","13,687",,"13,687"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,203,0607136A,Blackhawk Product Improvement Program,Y,"40,923","125,000",,"125,000","23,998",,"23,998"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,204,0607137A,Chinook Product Improvement Program,Y,"20,386","4,816",,"4,816","10,859",,"10,859"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,205,0607139A,Improved Turbine Engine Program,Y,"182,204","130,029",,"130,029",,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,206,0607142A,Aviation Rocket System Product Improvement and Development,Y,"2,904",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,207,0607143A,Unmanned Aircraft System Universal Products,Y,"24,466","24,539",,"24,539",,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,208,0607145A,Apache Future Development,Y,"44,762","8,243",,"8,243","44,371",,"44,371"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,209,0607148A,AN/TPQ-53 Counterfire Target Acquisition Radar System,Y,"52,190","53,652",,"53,652","43,054",,"43,054"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,210,0607150A,Intel Cyber Development,Y,"4,345","9,753",,"9,753","13,129",,"13,129"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,211,0607212A,TENCAP Enhancements,Y,,,,,,"6,800","6,800"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,212,0607312A,Army Operational Systems Development,Y,"19,000",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,213,0607313A,Electronic Warfare Development,Y,"6,389","5,559",,"5,559",,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,215,0607665A,Family of Biometrics,Y,768,590,,590,"1,594",,"1,594"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,216,0607865A,Patriot Product Improvement,Y,"170,729","168,458",,"168,458","183,763","15,000","198,763"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,217,0203728A,Joint Automated Deep Operation Coordination System (JADOCS),Y,"37,535","27,582",,"27,582","8,424",,"8,424"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,218,0203735A,Combat Vehicle Improvement Programs,Y,"223,719","326,579",,"326,579","744,085",,"744,085"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,219,0203743A,155mm Self-Propelled Howitzer Improvements,Y,"22,066","47,870",,"47,870","107,826",,"107,826"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,220,0203752A,Aircraft Engine Component Improvement Program,Y,146,142,,142,237,,237
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,221,0203758A,Digitization,Y,"1,460","1,562",,"1,562","1,013",,"1,013"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,222,0203801A,Missile/Air Defense Product Improvement Program,Y,"4,203","1,511",,"1,511","1,338",,"1,338"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,223,0203802A,Other Missile Product Improvement Programs,Y,"9,677","26,708",,"26,708",,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,224,0205412A,Environmental Quality Technology - Operational System Dev,Y,271,269,,269,,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,225,0205778A,Guided Multiple-Launch Rocket System (GMLRS),Y,"70,808","20,590",,"20,590","33,307",,"33,307"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,226,0208053A,Joint Tactical Ground System,Y,477,,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,229,0303028A,Security and Intelligence Activities,Y,"16,290",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,230,0303140A,Information Systems Security Program,Y,"15,323","15,733",,"15,733","15,040",,"15,040"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,231,0303141A,Global Combat Support System,Y,"12,605","2,566",,"2,566",,,
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,232,0303142A,SATCOM Ground Environment (SPACE),Y,"25,858","26,643",,"26,643","35,720",,"35,720"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,235,0305179A,Integrated Broadcast Service (IBS),Y,"9,456","5,701",,"5,701","6,653",,"6,653"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,236,0305219A,MQ-1 Gray Eagle UAV,Y,"6,629","6,681",,"6,681","3,444",,"3,444"
2040A,"Research, Development, Test and Evaluation, Army",A,07,Operational system development,237,0708045A,End Item Industrial Preparedness Activities,Y,"118,797","87,187",,"87,187","67,002",,"67,002"
2040A,"Research, Development, Test and Evaluation, Army",,07,Operational system development,999,9999999999,Classified Programs,Y,"8,786","32,518",,"32,518","46,872",,"46,872"
2040A,"Research, Development, Test and Evaluation, Army",A,08,Software and digital technology pilot programs,238,0608041A,Defensive CYBER - Software Prototype Development,Y,"104,048","74,548",,"74,548","89,238",,"89,238"
2040A,"Research, Development, Test and Evaluation, Army",A,09,AGILE RDTE PORTFOLIO MANAGEMENT,239,0609135A,Counter Unmanned Aerial Systems (UAS) Agile Development,Y,,,,,"143,618",,"143,618"
2040A,"Research, Development, Test and Evaluation, Army",A,09,AGILE RDTE PORTFOLIO MANAGEMENT,240,0609277A,Electronic Warfare Agile Development,Y,,,,,"127,081",,"127,081"
2040A,"Research, Development, Test and Evaluation, Army",A,09,AGILE RDTE PORTFOLIO MANAGEMENT,241,0609278A,Electronic Warfare Agile Systems Development,Y,,,,,"59,202",,"59,202"
2040A,"Research, Development, Test and Evaluation, Army",A,09,AGILE RDTE PORTFOLIO MANAGEMENT,242,0609345A,Unmanned Aerial Systems Launched Effects Agile Systems Development,Y,,,,,"187,473",,"187,473"
2040A,"Research, Development, Test and Evaluation, Army",A,09,AGILE RDTE PORTFOLIO MANAGEMENT,243,0609346A,UAS Launched Effects Agile Development,Y,,,,,"172,898",,"172,898"
0390D,"Chemical Agents and Munitions Destruction, Defense",A,02,"Research, Development, Test, and Evaluation",1,0708081D,Chemical Materials Agency,N,"2,093",,,,,,
